rank,lemma,reading,score,model_score,correction_delta,band,core_rank,pmw,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,translations,rank_base,frequency_blend,learner_source_confidence,goethe_stem_learner_source_known,openlingo_learner_source_known,wordfreq_de_commonness_score,opensubtitles_cistem_frequency_score,translation_count_score,reverse_support_score
44239,stöckli,,0.841892,0.841892,0.0,0.80-0.85,38032.0,1.252763,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,federal council,0.945829,0.929284,0.0,0.0,0.0,0.304,0.0,0.270238,0.333333
44240,ehrenhaft,,0.841897,0.841897,0.0,0.80-0.85,40750.0,0.974371,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,honorable confinement; honorable custody; creditable,0.952019,0.939336,0.0,0.0,0.0,0.368,0.286693,0.897712,1.0
44241,betriebsstätte,,0.841902,0.841902,0.0,0.80-0.85,40553.0,0.974371,normal_vocab,,other,,,,,,,,place of business,0.951585,0.939097,0.0,0.0,0.0,0.366667,0.0,0.270238,0.333333
44242,funkverbindung,,0.841908,0.841908,0.0,0.80-0.85,38912.0,1.113567,normal_vocab,,other,,,,,,,,radio contact; radio communications; communications by radio,0.94788,0.933626,0.0,0.0,0.0,0.332,0.341025,0.540476,1.0
44243,reisetasche,,0.841909,0.841909,0.0,0.80-0.85,41775.0,0.974371,normal_vocab,,other,,,,,,,,travel bag; travelling bag; traveling bag,0.954247,0.940561,0.0,0.0,0.0,0.374667,0.0,0.856635,1.0
44244,einwegverpackung,,0.841911,0.841911,0.0,0.80-0.85,30321.0,2.087938,normal_vocab,,other,,,,,,,,non-returnable packaging; disposable packaging,0.925508,0.902219,0.0,0.0,0.0,0.0,0.0,0.428317,0.666667
44245,überlebensfähig,,0.841917,0.841917,0.0,0.80-0.85,40286.0,1.113567,normal_vocab,,other,,,,,,,,survivable,0.950992,0.935338,0.0,0.0,0.0,0.341333,0.0,0.270238,0.333333
44246,eingeatmet,,0.841918,0.841918,0.0,0.80-0.85,40765.0,0.974371,normal_vocab,PA2:PRD:GRU:VER|VER:PA2:SFT,verb,,,,,,,,breathed in; inhaled,0.952052,0.939354,0.0,0.0,0.0,0.368,0.0,0.428317,0.666667
44247,werbemittel,,0.841921,0.841921,0.0,0.80-0.85,42406.0,0.974371,normal_vocab,,other,,,,,,,,advertising medium; advertising media,0.955592,0.9413,0.0,0.0,0.0,0.378667,0.138011,0.428317,0.666667
44248,orientierungslosigkeit,,0.841929,0.841929,0.0,0.80-0.85,39507.0,1.113567,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,disorientation,0.949241,0.934375,0.0,0.0,0.0,0.336,0.209301,0.270238,0.333333
44249,spielverderber,,0.841932,0.841932,0.0,0.80-0.85,41998.0,0.974371,normal_vocab,SUB:AKK:PLU:MAS|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:PLU:MAS|SUB:NOM:PLU:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,piker; spoilsport; spoiler,0.954725,0.940824,0.0,0.0,0.0,0.376,0.0,1.0,1.0
